Iteration,Odd Object,Weight,All Objects,,TEST
1,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
2,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
3,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
4,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
5,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
6,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
7,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
8,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
9,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
10,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
11,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
12,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
13,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
14,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
15,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
16,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
17,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
18,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
19,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
20,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
21,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
22,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
23,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
24,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
25,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
26,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
27,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
28,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
29,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
30,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
31,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
32,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
33,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
34,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
35,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
36,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
37,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
38,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
39,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
40,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
41,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
42,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
43,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
44,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
45,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
46,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
47,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
48,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
49,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
50,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
51,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
52,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
53,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
54,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
55,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
56,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
57,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
58,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
59,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
60,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
61,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
62,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
63,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
64,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
65,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
66,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
67,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
68,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
69,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
70,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
71,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
72,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
73,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
74,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
75,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
76,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
77,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
78,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
79,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
80,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
81,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
82,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
83,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
84,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
85,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
86,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
87,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
88,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
89,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
90,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
91,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
92,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
93,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
94,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
95,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
96,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
97,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
98,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
99,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
100,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
101,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
102,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
103,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
104,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
105,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
106,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
107,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
108,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
109,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
110,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
111,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
112,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
113,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
114,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
115,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
